Model,Rank,Average,Average-0,Average-1,Average-2,Average-3,Average-4,Average-5,Average-6,Average-7,Average-8,Average-9,Average-10,Average-11,Average-12,Average-13,Average-14,Average-15,Average-16,Average-17,Average-18,Average-19,Average-20,Average-21,Average-22,Average-23,Average-24,Average-25,Average-26,Average-27,Average-28,Average-29,Average-30,Average-31,Average-32,Average-33,Average-34,Average-35,Average-36,Average-37,Average-38,Average-39,Average-40,Average-41,Average-42,Average-43,Average-44,Average-45,Average-46,Average-47,Average-48,Average-49,Average-50,Average-51,Average-52,Average-53,Average-54,Average-55,Classification Average-0,Classification Average-1,Classification Average-2,Classification Average-3,Classification Average-4,Classification Average-5,Classification Average-6,Classification Average-7,Classification Average-8,Classification Average-9,Classification Average-10,Classification Average-11,Clustering Average-0,Clustering Average-1,Clustering Average-2,Clustering Average-3,Clustering Average-4,Clustering Average-5,Clustering Average-6,Clustering Average-7,Clustering Average-8,Clustering Average-9,Clustering Average-10,Pair Classification Average-0,Pair Classification Average-1,Pair Classification Average-2,Reranking Average-0,Reranking Average-1,Reranking Average-2,Reranking Average-3,Retrieval Average-0,Retrieval Average-1,Retrieval Average-2,Retrieval Average-3,Retrieval Average-4,Retrieval Average-5,Retrieval Average-6,Retrieval Average-7,Retrieval Average-8,Retrieval Average-9,Retrieval Average-10,Retrieval Average-11,Retrieval Average-12,Retrieval Average-13,Retrieval Average-14,STS Average-0,STS Average-1,STS Average-2,STS Average-3,STS Average-4,STS Average-5,STS Average-6,STS Average-7,STS Average-8,STS Average-9,Summarization Average-0
MegatronBert-1B3-embedding,55.0,56.80874999999991,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,69.65,69.65,69.65,69.65,69.65,69.65,69.65,69.65,69.65,69.65,69.65,69.65,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,76.9,76.9,76.9,55.5,55.5,55.5,55.5,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,41.41,79.11,79.11,79.11,79.11,79.11,79.11,79.11,79.11,79.11,79.11,31.01
bge-micro-v2,56.0,56.569107142857206,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,56.57,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,39.18,39.18,39.18,39.18,39.18,39.18,39.18,39.18,39.18,39.18,39.18,82.81,82.81,82.81,54.29,54.29,54.29,54.29,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,42.56,78.65,78.65,78.65,78.65,78.65,78.65,78.65,78.65,78.65,78.65,29.87
all-MiniLM-L12-v2,57.0,56.52991071428571,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,56.53,63.21,63.21,63.21,63.21,63.21,63.21,63.21,63.21,63.21,63.21,63.21,63.21,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,82.41,82.41,82.41,58.44,58.44,58.44,58.44,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,27.9
all-MiniLM-L6-v2,58.0,56.261964285714306,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,82.37,82.37,82.37,58.04,58.04,58.04,58.04,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,41.95,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,30.81
jina-embedding-b-en-v1,59.0,56.259107142857204,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,35.88,35.88,35.88,35.88,35.88,35.88,35.88,35.88,35.88,35.88,35.88,83.04,83.04,83.04,55.84,55.84,55.84,55.84,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,44.03,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,30.71
SGPT-1.3B-weightedmean-msmarco-specb-bitfit,60.0,56.20071428571422,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,39.92,79.58,79.58,79.58,54.0,54.0,54.0,54.0,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,75.74,75.74,75.74,75.74,75.74,75.74,75.74,75.74,75.74,75.74,30.43
gtr-t5-base,61.0,56.19160714285715,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,56.19,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,38.63,38.63,38.63,38.63,38.63,38.63,38.63,38.63,38.63,38.63,38.63,83.85,83.85,83.85,54.23,54.23,54.23,54.23,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,44.67,77.07,77.07,77.07,77.07,77.07,77.07,77.07,77.07,77.07,77.07,29.67
contriever-base-msmarco,62.0,56.0008928571429,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,82.54,82.54,82.54,53.14,53.14,53.14,53.14,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,30.36
udever-bloom-560m,63.0,55.80705357142856,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,55.81,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,36.89,36.89,36.89,36.89,36.89,36.89,36.89,36.89,36.89,36.89,36.89,81.05,81.05,81.05,52.6,52.6,52.6,52.6,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,41.19,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,79.93,32.06
bge-micro,64.0,55.71080357142853,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,81.77,81.77,81.77,54.28,54.28,54.28,54.28,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,40.82,78.37,78.37,78.37,78.37,78.37,78.37,78.37,78.37,78.37,78.37,31.16
sentence-t5-base,65.0,55.270446428571475,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,55.27,69.81,69.81,69.81,69.81,69.81,69.81,69.81,69.81,69.81,69.81,69.81,69.81,40.21,40.21,40.21,40.21,40.21,40.21,40.21,40.21,40.21,40.21,40.21,85.18,85.18,85.18,53.09,53.09,53.09,53.09,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,81.14,81.14,81.14,81.14,81.14,81.14,81.14,81.14,81.14,81.14,31.39
bge-small-4096,66.0,54.4208928571429,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,54.42,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,81.4,81.4,81.4,53.64,53.64,53.64,53.64,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,78.59,78.59,78.59,78.59,78.59,78.59,78.59,78.59,78.59,78.59,29.83
lodestone-base-4096-v1,67.0,54.24124999999991,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,80.4,80.4,80.4,53.95,53.95,53.95,53.95,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,31.23
SGPT-5.8B-weightedmean-nli-bitfit,68.0,53.74187499999993,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,36.98,36.98,36.98,36.98,36.98,36.98,36.98,36.98,36.98,36.98,36.98,77.03,77.03,77.03,52.33,52.33,52.33,52.33,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,30.38
multi-qa-MiniLM-L6-cos-v1,69.0,53.2897321428571,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,35.67,35.67,35.67,35.67,35.67,35.67,35.67,35.67,35.67,35.67,35.67,80.86,80.86,80.86,54.58,54.58,54.58,54.58,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.17,74.23,74.23,74.23,74.23,74.23,74.23,74.23,74.23,74.23,74.23,31.05
msmarco-bert-co-condensor,70.0,52.35124999999999,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,81.74,81.74,81.74,51.84,51.84,51.84,51.84,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,76.47,76.47,76.47,76.47,76.47,76.47,76.47,76.47,76.47,76.47,29.5
jina-embedding-s-en-v1,71.0,52.32857142857141,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,52.33,60.56,60.56,60.56,60.56,60.56,60.56,60.56,60.56,60.56,60.56,60.56,60.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,79.22,79.22,79.22,53.07,53.07,53.07,53.07,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,38.91,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,31.25
SGPT-125M-weightedmean-msmarco-specb-bitfit,72.0,51.24776785714281,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,35.79,35.79,35.79,35.79,35.79,35.79,35.79,35.79,35.79,35.79,35.79,75.23,75.23,75.23,50.58,50.58,50.58,50.58,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,73.41,73.41,73.41,73.41,73.41,73.41,73.41,73.41,73.41,73.41,29.71
text-similarity-ada-001,73.0,49.51892857142856,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.44,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.52,76.86,76.86,76.86,49.02,49.02,49.02,49.02,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,26.94
sup-simcse-bert-base-uncased,74.0,48.867499999999914,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,67.32,67.32,67.32,67.32,67.32,67.32,67.32,67.32,67.32,67.32,67.32,67.32,33.43,33.43,33.43,33.43,33.43,33.43,33.43,33.43,33.43,33.43,33.43,73.68,73.68,73.68,47.54,47.54,47.54,47.54,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,79.12,31.17
SGPT-125M-weightedmean-nli-bitfit,75.0,45.97080357142851,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,61.46,61.46,61.46,61.46,61.46,61.46,61.46,61.46,61.46,61.46,61.46,61.46,30.95,30.95,30.95,30.95,30.95,30.95,30.95,30.95,30.95,30.95,30.95,71.78,71.78,71.78,47.56,47.56,47.56,47.56,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,74.71,74.71,74.71,74.71,74.71,74.71,74.71,74.71,74.71,74.71,30.26
unsup-simcse-bert-base-uncased,76.0,45.4491964285714,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,70.33,70.33,70.33,46.47,46.47,46.47,46.47,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,74.33,74.33,74.33,74.33,74.33,74.33,74.33,74.33,74.33,74.33,31.15
LaBSE,77.0,45.21000000000002,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21,62.71,62.71,62.71,62.71,62.71,62.71,62.71,62.71,62.71,62.71,62.71,62.71,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,78.87,78.87,78.87,48.42,48.42,48.42,48.42,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,31.05
komninos,78.0,42.05928571428569,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,57.65,57.65,57.65,57.65,57.65,57.65,57.65,57.65,57.65,57.65,57.65,57.65,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,72.94,72.94,72.94,44.75,44.75,44.75,44.75,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,21.22,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,30.49
glove.6B.300d,79.0,41.96303571428574,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,41.96,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73,70.92,70.92,70.92,43.29,43.29,43.29,43.29,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,28.87
SONAR,80.0,40.72062499999998,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,40.72,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,71.4,71.4,71.4,46.18,46.18,46.18,46.18,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,30.56
allenai-specter,81.0,40.27991071428573,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,40.28,52.37,52.37,52.37,52.37,52.37,52.37,52.37,52.37,52.37,52.37,52.37,52.37,34.06,34.06,34.06,34.06,34.06,34.06,34.06,34.06,34.06,34.06,34.06,61.37,61.37,61.37,48.1,48.1,48.1,48.1,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,27.66
